DATE,PCPI06095
1969-01-01,4193
1970-01-01,4538
1971-01-01,4896
1972-01-01,5295
1973-01-01,5794
1974-01-01,6482
1975-01-01,7214
1976-01-01,7692
1977-01-01,8350
1978-01-01,9195
1979-01-01,9847
1980-01-01,10654
1981-01-01,11563
1982-01-01,12291
1983-01-01,13257
1984-01-01,14486
1985-01-01,15673
1986-01-01,16406
1987-01-01,16939
1988-01-01,17750
1989-01-01,18710
1990-01-01,19865
1991-01-01,20047
1992-01-01,20805
1993-01-01,21313
1994-01-01,21285
1995-01-01,21895
1996-01-01,22640
1997-01-01,23731
1998-01-01,24915
1999-01-01,26106
2000-01-01,28244
2001-01-01,30187
2002-01-01,30931
2003-01-01,32098
2004-01-01,32965
2005-01-01,33987
2006-01-01,35768
2007-01-01,37429
2008-01-01,38004
2009-01-01,37518
2010-01-01,37656
2011-01-01,38635
2012-01-01,38975
2013-01-01,40025
2014-01-01,41195
2015-01-01,43597
2016-01-01,45447
2017-01-01,46644
2018-01-01,48566
2019-01-01,51540
2020-01-01,57029
2021-01-01,59873
2022-01-01,58273
